best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,early_stopping,out_channels1,out_channels2,out_channels3,h1,h2,batch_size
6,0.8971224171774728,0.3647625344991684,1.04240220785141,0.8723125,0.71205354,11,True,32,256,256,512,256,64
8,0.8971325569152832,0.2925274214744567,1.0849482538700104,0.8983125,0.724,13,True,32,256,256,512,128,32
7,0.897137526422739,0.4189737966060638,1.0066755767911673,0.8491875,0.7001953,12,True,64,64,512,256,256,128
8,0.897161833524704,0.3137975505441427,1.0295179090499875,0.8921875,0.7165,13,True,32,64,128,512,128,32
6,0.897371232509613,0.3674682339429855,0.9050756692886353,0.8679375,0.72875977,11,True,128,128,128,256,256,128
9,0.8976308691501618,0.2357917255237698,1.1446859154701232,0.919,0.712,14,True,32,128,256,512,256,32
7,0.8977947433789571,0.3594098047614097,1.03829744883946,0.8725,0.7130456,12,True,32,128,256,256,256,64
10,0.8978540050604987,0.2705229093730449,1.1191735220333887,0.9055,0.7123016,15,True,128,256,256,128,256,64
9,0.8979426575085473,0.3025203368067741,1.0144299893152149,0.89156246,0.7202381,14,True,64,256,128,128,512,64
11,0.89814068749547,0.2320638970136642,1.1089324951171875,0.919125,0.72387695,16,True,64,128,512,512,128,128
9,0.8981687204837799,0.3117123462557792,1.0318984146118164,0.88981247,0.71675,14,True,128,64,128,256,128,32
13,0.8981914315372705,0.2281571877002716,1.1033303253352642,0.920875,0.7155762,18,True,128,256,512,256,128,128
7,0.8981920175552368,0.3839030969440937,1.033717200756073,0.8659375,0.69725,12,True,32,256,128,128,256,32
9,0.898356524724809,0.2804826410412788,0.997066480772836,0.9014375,0.7274306,14,True,64,128,256,256,256,64
8,0.8983714788679092,0.3520930789113045,1.0824176016308011,0.8743125,0.7001488,13,True,64,64,128,256,128,64
8,0.8983831815421581,0.3675058444738388,1.064942479133606,0.866875,0.701416,13,True,64,128,512,256,512,128
7,0.8984769377708435,0.3657853466942906,0.9592214562892912,0.8730625,0.707,12,True,128,64,128,512,128,32
7,0.8987184522151948,0.3512902919203043,1.0266889023780823,0.874,0.71025,12,True,64,128,128,256,256,32
9,0.8987199533730745,0.3043122779130935,1.020739819854498,0.894125,0.7163086,14,True,64,128,128,128,128,128
10,0.8987368438392878,0.3006658446788788,1.0868923272937536,0.8933125,0.70581055,15,True,64,64,128,128,256,128
8,0.8987653348594904,0.3506457263231277,1.0414346884936094,0.87375,0.71118164,13,True,128,128,512,512,512,128
8,0.8989791724681854,0.3289098540320992,1.005908400297165,0.884375,0.71599996,13,True,128,256,128,256,512,32
11,0.8990344221591949,0.2175196733102202,1.0920746767520904,0.92775,0.72125,16,True,128,256,256,512,128,32
8,0.8992399322986603,0.3719985280185938,1.0247224423885346,0.87,0.71449995,13,True,64,64,512,256,256,32
9,0.8994784224778414,0.3194734268188476,1.0714331325143576,0.88675,0.7055664,14,True,128,64,256,256,512,128
7,0.8995623023509979,0.3408113560378552,1.1270483860969542,0.8829375,0.70299995,12,True,32,64,256,512,128,32
7,0.8996006872653961,0.4077979525774717,0.9683907923698424,0.8568125,0.70575,12,True,128,64,128,256,256,32
